Ethnic group 2013,"Total people, ethnic group",  European or Other ethnicity (including New Zealander),  Maori,  Pacific peoples,  Asian,  Middle Eastern/Latin American/African,REGC2015_V
  Area Outside region,600,460,350,10,10,0,99
  Auckland region,1493200,886400,169800,227000,348900,28200,02
  Bay of Plenty region,279700,213900,78200,9160,16000,1480,04
  Canterbury region,562900,494900,47900,14750,41900,4960,13
  Gisborne region,47000,29100,23000,1980,1280,200,05
  Hawke's Bay region,158000,123900,39500,7650,6120,770,06
  Manawatu-Wanganui region,231200,190700,49200,8430,12700,1530,08
  Marlborough region,44700,40600,5300,1100,1380,270,18
  Nelson region,48700,44100,4830,930,2310,250,17
  Northland region,164700,125700,55200,5850,5330,710,01
  Otago region,208800,188800,16300,4490,11800,2310,14
  Southland region,96000,86900,12750,2170,3350,360,15
  Taranaki region,113600,99200,20400,1980,4340,540,07
  Tasman region,48800,46300,3870,560,1100,160,16
  Waikato region,424600,331800,96100,17300,31000,4070,03
  Wellington region,486700,378800,65800,40700,52800,7210,09
  West Coast region,33000,30600,3600,410,900,140,12
